ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy
GuangKa-1_sun-1,,GuangKa,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,,Deepadung2015,,,,,1858 1859
MangBang-1_sun-1,,MangBang,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,,Deepadung2015,,,,,1858 1859
NanSang-1_sun-1,,NanSang,1_sun,saŋaj,saŋaj,s a + ŋ ai̯,,Deepadung2015,,,,,1858 1859
NamHsan-2_moon-1,,NamHsan,2_moon,blaŋkiәːr,blaŋkiәːr,b l a n + k i/j əː r,,Deepadung2015,,,,,1152 1151
KhunHawt-2_moon-1,,KhunHawt,2_moon,paŋkia,paŋkia,p a n + k i/j a,,Deepadung2015,,,,,1152 1151
HtanHsan-2_moon-1,,HtanHsan,2_moon,baŋkia,baŋkia,b a n + k i/j a,,Deepadung2015,,,,,1152 1151
PangKham-2_moon-1,,PangKham,2_moon,blaŋɡian,blaŋɡian,b l a n + g i/j a n,,Deepadung2015,,,,,1152 1151
ManLoi-2_moon-1,,ManLoi,2_moon,blaŋɡiaː,blaŋɡiaː,b l a n + g i/j aː,,Deepadung2015,,,,,1152 1151
MengDan-2_moon-1,,MengDan,2_moon,blaŋɡiar,blaŋɡiar,b l a n + g i/j a r,,Deepadung2015,,,,,1152 1151
ChuDongGua-2_moon-1,,ChuDongGua,2_moon,blaŋkiar,blaŋkiar,b l a n + k i/j a r,,Deepadung2015,,,,,1152 1151
XiangZhaiTang-2_moon-1,,XiangZhaiTang,2_moon,məɡian,məɡian,m ə + g i/j a n,,Deepadung2015,,,,,1150 1151
PongNuea-2_moon-1,,PongNuea,2_moon,maɡian,maɡian,m a + g i/j a n,,Deepadung2015,,,,,1150 1151
NyaungGone-2_moon-1,,NyaungGone,2_moon,maɡian,maɡian,m a + g i/j a n,,Deepadung2015,,,,,1150 1151
NoeLae-2_moon-1,,NoeLae,2_moon,maɡian,maɡian,m a + g i/j a n,,Deepadung2015,,,,,1150 1151
BanPaw-2_moon-1,,BanPaw,2_moon,maɡian,maɡian,m a + g i/j a n,,Deepadung2015,,,,,1110 1151
ChaYeQing-2_moon-1,,ChaYeQing,2_moon,lənlaːw,lənlaːw,l ə n + l aː w,,Deepadung2015,,,,,1152 1153
GuangKa-2_moon-1,,GuangKa,2_moon,pakjəː,pakjəː,p a + k j əː,,Deepadung2015,,,,,1152 1151
MangBang-2_moon-1,,MangBang,2_moon,pakjəː,pakjəː,p a + k j əː,,Deepadung2015,,,,,1152 1151
