ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ManLoi-3_star-1-1,ManLoi-3_star-1,plaːŋ,2-3,false,expert,Deepadung2015,,,
MengDan-3_star-1-1,MengDan-3_star-1,kəman,3-3,false,expert,Deepadung2015,,,
ChuDongGua-3_star-1-1,ChuDongGua-3_star-1,səmaɲ,1-3,false,expert,Deepadung2015,,,
XiangZhaiTang-3_star-1-1,XiangZhaiTang-3_star-1,samɛɲ,1-3,false,expert,Deepadung2015,,,
PongNuea-3_star-1-1,PongNuea-3_star-1,samaɲ,1-3,false,expert,Deepadung2015,,,
NyaungGone-3_star-1-1,NyaungGone-3_star-1,samăn,1-3,false,expert,Deepadung2015,,,
NoeLae-3_star-1-1,NoeLae-3_star-1,samăɲ,1-3,false,expert,Deepadung2015,,,
BanPaw-3_star-1-1,BanPaw-3_star-1,samăn,1-3,false,expert,Deepadung2015,,,
ChaYeQing-3_star-1-1,ChaYeQing-3_star-1,khaman,3-3,false,expert,Deepadung2015,,,
GuangKa-3_star-1-1,GuangKa-3_star-1,laːw,4-3,false,expert,Deepadung2015,,,
MangBang-3_star-1-1,MangBang-3_star-1,laːw,4-3,false,expert,Deepadung2015,,,
NanSang-3_star-1-1,NanSang-3_star-1,laːw,4-3,false,expert,Deepadung2015,,,
NamHsan-4_cloud-1-1,NamHsan-4_cloud-1,Ɂuːt,1-4,false,expert,Deepadung2015,,,
KhunHawt-4_cloud-1-1,KhunHawt-4_cloud-1,Ɂuːt,1-4,false,expert,Deepadung2015,,,
HtanHsan-4_cloud-1-1,HtanHsan-4_cloud-1,ɁuːɁ,1-4,false,expert,Deepadung2015,,,
PangKham-4_cloud-1-1,PangKham-4_cloud-1,ɁaɁuːt,1-4,false,expert,Deepadung2015,,,
ManLoi-4_cloud-1-1,ManLoi-4_cloud-1,ɁaɁut,1-4,false,expert,Deepadung2015,,,
MengDan-4_cloud-1-1,MengDan-4_cloud-1,ʔuːt,1-4,false,expert,Deepadung2015,,,
ChuDongGua-4_cloud-1-1,ChuDongGua-4_cloud-1,kɨʔuːt,1-4,false,expert,Deepadung2015,,,
XiangZhaiTang-4_cloud-1-1,XiangZhaiTang-4_cloud-1,ŋɁuɁ,1-4,false,expert,Deepadung2015,,,
PongNuea-4_cloud-1-1,PongNuea-4_cloud-1,ŋɁuɁ,1-4,false,expert,Deepadung2015,,,
NyaungGone-4_cloud-1-1,NyaungGone-4_cloud-1,ŋ ʔuʔ,1-4,false,expert,Deepadung2015,,,
NoeLae-4_cloud-1-1,NoeLae-4_cloud-1,ŋ Ɂu,1-4,false,expert,Deepadung2015,,,
BanPaw-4_cloud-1-1,BanPaw-4_cloud-1,ŋ ɁuɁ,1-4,false,expert,Deepadung2015,,,
ChaYeQing-4_cloud-1-1,ChaYeQing-4_cloud-1,ŋɁuːɁ,1-4,false,expert,Deepadung2015,,,
GuangKa-4_cloud-1-1,GuangKa-4_cloud-1,ɁoŋɁuːɁ,1-4,false,expert,Deepadung2015,,,
MangBang-4_cloud-1-1,MangBang-4_cloud-1,ŋɁuɁ,1-4,false,expert,Deepadung2015,,,
NanSang-4_cloud-1-1,NanSang-4_cloud-1,ŋɁuːɁ,1-4,false,expert,Deepadung2015,,,
NamHsan-5_rain-1-1,NamHsan-5_rain-1,ʨuŋ,1-5,false,expert,Deepadung2015,,,
KhunHawt-5_rain-1-1,KhunHawt-5_rain-1,ʥoŋ,1-5,false,expert,Deepadung2015,,,
HtanHsan-5_rain-1-1,HtanHsan-5_rain-1,ʥuːŋ,1-5,false,expert,Deepadung2015,,,
PangKham-5_rain-1-1,PangKham-5_rain-1,ɡlaːj,2-5,false,expert,Deepadung2015,,,
